Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
47.223,9.6992,32.1139,24.7492,6.3804e-03,0.4296,0.001,6.8384,205.35,72.7682
47.333,9.6953,32.1143,24.7501,6.2187e-03,0.4342,0.001,6.8326,205.245,72.72523
47.468,9.6951,32.1141,24.75,3.0557e-03,0.4266,0.0011,6.8399,205.377,72.77161
47.627,9.6942,32.1146,24.7505,1.0000e-12,0.422,0.0011,6.84,205.924,72.9639
47.791,9.6868,32.1166,24.7533,4.1185e-05,0.4288,0.0011,6.8327,206.573,73.18312
47.961,9.6902,32.1134,24.7502,1.0000e-12,0.4342,0.001,6.8352,206.894,73.30074
48.125,9.6963,32.1131,24.749,1.0000e-12,0.4349,0.001,6.8372,207.16,73.40438
48.267,9.6842,32.1205,24.7567,1.0000e-12,0.4349,0.001,6.845,207.369,73.46305
48.415,9.6673,32.1197,24.7589,1.0000e-12,0.4189,0.001,6.8474,207.804,73.5898
48.53,9.6666,32.1206,24.7597,1.0000e-12,0.3854,0.001,6.8517,208.066,73.68192
48.511,9.6672,32.1186,24.758,1.0000e-12,0.3899,0.0011,6.8586,208.232,73.74066
48.476,9.6674,32.1189,24.7582,1.0000e-12,0.4098,0.0011,6.8676,208.425,73.80944
48.538,9.6454,32.1288,24.7695,1.0000e-12,0.4121,0.0012,6.8721,208.283,73.72903
48.634,9.6496,32.1197,24.7617,1.0000e-12,0.4342,0.0012,6.8731,207.883,73.58927
48.691,9.635,32.1283,24.7708,1.0000e-12,0.4349,0.0012,6.8676,207.32,73.37115
48.741,9.6311,32.1279,24.7711,1.0000e-12,0.4113,0.0014,6.8796,206.919,73.22281
48.817,9.6318,32.1248,24.7686,1.0000e-12,0.4098,0.0014,6.899,206.854,73.19908
48.889,9.6367,32.1239,24.7671,1.0000e-12,0.4403,0.0014,6.9116,207.081,73.28696
48.952,9.6349,32.1248,24.7681,1.0000e-12,0.4472,0.0014,6.9171,207.121,73.29891
49.058,9.6467,32.1182,24.761,1.0000e-12,0.4044,0.0013,6.9491,206.845,73.21624
49.229,9.6517,32.1233,24.7641,1.0000e-12,0.3846,0.0013,6.9495,206.464,73.09242
49.438,9.6235,32.1328,24.7762,1.0000e-12,0.3991,0.0013,6.9495,206.196,72.95722
49.617,9.6106,32.1311,24.7769,1.0000e-12,0.4098,0.0013,6.9495,206.064,72.88945
49.732,9.615,32.1282,24.774,1.0000e-12,0.3983,0.0014,6.949,206.287,72.9738
49.831,9.6228,32.1238,24.7692,1.0000e-12,0.3854,0.0014,6.9436,206.488,73.05475
49.969,9.6412,32.1198,24.7632,1.0000e-12,0.409,0.0013,6.9445,206.652,73.14034
50.08,9.6453,32.1204,24.7629,1.0000e-12,0.4586,0.0012,6.948,206.709,73.16707
50.126,9.6462,32.1217,24.7638,1.0000e-12,0.4464,0.0012,6.9479,206.781,73.19491
50.134,9.6443,32.121,24.7636,1.0000e-12,0.3976,0.0012,6.9478,206.892,73.23075
